quantity,value,time
1,0.74,1.0790221691131592
2,0.74,4.735186815261841
3,0.74,7.671018838882446
4,0.74,10.591298341751099
5,0.74,12.047755718231201
6,0.74,14.966395854949951
7,0.74,15.703735113143921
8,0.74,23.00689435005188
9,0.74,28.13526439666748
10,0.74,28.87125039100647
1,0.76,1.814945936203003
2,0.76,20.815627813339233
3,0.76,25.19950842857361
1,0.7,2.5758304595947266
2,0.7,4.031390190124512
3,0.7,9.13555359840393
4,0.7,22.302961111068726
5,0.7,24.502917528152466
1,0.75,3.2790071964263916
2,0.75,6.19124698638916
3,0.75,9.839215755462646
4,0.75,12.783460140228271
5,0.75,17.887810230255127
6,0.75,19.351675987243652
7,0.75,23.751838445663452
8,0.75,26.671029806137085
1,0.71,5.479103326797485
2,0.71,14.255940914154053
3,0.71,18.639336109161377
4,0.71,20.10304284095764
5,0.71,25.95977544784546
1,0.73,6.943894863128662
2,0.73,21.575149536132812
3,0.73,29.6069655418396
1,0.72,8.415453672409058
2,0.72,11.32737946510315
3,0.72,13.535783290863037
4,0.72,16.44761633872986
5,0.72,17.167775869369507
6,0.72,27.416494131088257
